baseline,fold,ticker,CAGR,AnnVol,Sharpe,Sortino,MaxDrawdown,Calmar,WinRate,FinalEquity,TotalReturn,Turnover,Gross_CAGR,Gross_AnnVol,Gross_Sharpe,Gross_Sortino,Gross_MaxDrawdown,Gross_Calmar,Gross_WinRate,Gross_FinalEquity,Gross_TotalReturn,test_start,test_end,params
MultiAgentA2C,1,PORTFOLIO,-0.0153078436011317,0.0554936652637898,-0.2502774331182177,-0.3907939867879465,-0.1304703866979271,-0.1173281078454488,0.4755959137343927,94743.99097596566,-0.0525600902403434,0.0805618543713781,0.0336630409138847,0.0554672353301834,0.6246232219851837,0.9841326175636016,-0.1009518769542607,0.3334563153207815,0.5107832009080591,112286.21910692412,0.1228621910692411,2011-12-15,2015-06-19,{'rollout_len': 20}
MultiAgentA2C,1,NVDA,0.0104950063457323,0.2130036575844562,0.1549280810344367,0.2325165812812634,-0.3813551913010092,0.0275202923288605,0.4778443113772455,11524.632658716142,0.0372169392844528,0.1893424036281179,0.0448466065025765,0.2128559705488893,0.3119491915197421,0.4687541834955581,-0.356096141503635,0.1259396024714262,0.5012437810945274,12955.11786202606,0.1659606075823454,2011-12-15,2015-06-19,
MultiAgentA2C,1,AAPL,-0.1440707302076977,0.1439949646851681,-1.0078366650226682,-1.209645122427788,-0.4269185358487558,-0.3374665612053388,0.4506329113924051,6445.996472445879,-0.4198603174798709,0.296485260770975,-0.0980958365434849,0.1440586373336229,-0.6443445995771062,-0.7567721200701618,-0.334847286415737,-0.2929569404414761,0.4939106901217862,7741.388477632868,-0.3032750370130419,2011-12-15,2015-06-19,
MultiAgentA2C,1,MSFT,0.1098985033952093,0.1308224560354027,0.8615950077548173,1.280990339505953,-0.1312884389439308,0.8370767775077557,0.3823529411764705,16004.750962422786,0.4404275866180507,0.369047619047619,0.1845237725408779,0.1307919302809201,1.3595332268619844,1.8692252932775817,-0.1067795532674481,1.728081518366215,0.5130260521042084,20098.364789511517,0.8088528310560366,2011-12-15,2015-06-19,
MultiAgentA2C,1,JPM,-0.0272117331052977,0.1289404647672576,-0.1496324777907934,-0.2210238761766624,-0.2070564730361226,-0.1314217938047775,0.4754285714285714,10088.384445338748,-0.0920453999195126,0.187641723356009,0.0055183540579315,0.1290263393399265,0.1070038787429694,0.1582011661228888,-0.2048227810017124,0.0269420912602754,0.4849884526558891,11327.198173001032,0.0194478355700928,2011-12-15,2015-06-19,
MultiAgentA2C,1,BAC,-0.1238625199641388,0.1973399685508728,-0.5711413759205751,-0.7143496552975588,-0.4114833645214146,-0.3010146475986947,0.4234234234234234,6994.559969977379,-0.3704896027020359,0.369047619047619,-0.0647785683284078,0.1966905803074281,-0.2420503365634259,-0.2932105155433091,-0.4007368711384705,-0.1616486352862307,0.4825581395348837,8789.376490302375,-0.2089561158727862,2011-12-15,2015-06-19,
MultiAgentA2C,1,MS,-0.2350286339482561,0.1797386386789794,-1.3997132032990582,-1.7575239605219986,-0.6308617820139154,-0.3725517072820111,0.4240583232077764,4350.264044586744,-0.6084762359871931,0.242063492063492,-0.2016251456991032,0.1797652699852093,-1.1619738658037375,-1.4362447070573503,-0.5715907466622578,-0.3527438939074354,0.4650856389986825,5052.210827295299,-0.5453010255434231,2011-12-15,2015-06-19,
MultiAgentA2C,1,CAT,0.0493062646882984,0.129957136574835,0.4349637929673312,0.5571319057890867,-0.1607746285671126,0.3066793879590049,0.4625550660792951,13149.687156370306,0.1834718440733276,0.2607709750566893,0.098764325133182,0.1294346634089426,0.7921112192630787,0.985655008819719,-0.147080110708914,0.6715002093562895,0.5186385737439222,15449.819728823104,0.3904837755940793,2011-12-15,2015-06-19,
MultiAgentA2C,1,RTX,0.0229223014052735,0.1645587233953934,0.2198228291400651,0.3475035161465696,-0.2539560201753095,0.0902609097018055,0.4891428571428571,12028.369347709237,0.0825532412938312,0.2732426303854875,0.073452892553858,0.1644138210659424,0.5131792667394584,0.8159746126466003,-0.2219600438394805,0.3309284467747648,0.5052023121387283,14239.605501758766,0.2815644951582889,2011-12-15,2015-06-19,
MultiAgentA2C,1,BA,0.071677470752826,0.1717065793998864,0.4887019755675558,0.7015554801674129,-0.1689289668573401,0.4243053875618465,0.4695652173913043,14157.345918398432,0.2741611326558588,0.2607709750566893,0.1221784097255862,0.1713426745804405,0.7582077546576479,1.0766829538027365,-0.1347158795989076,0.9069339864710124,0.5224489795918368,16633.13725657308,0.4969823530915773,2011-12-15,2015-06-19,
